Sample,ATP5G3,AURKB,B2M,VAR1,02-Mar,CBEBP,CD83,CDKN1B,CIT,CLASPIN,COX6B,DEXH,EF2_1,EPD,ERCC6L,ES1,FKBP10_2,FYNTBP,GAL3,GILT,GPX3,HEP,HERC6,HSC70,HSP70,HSP90a1,HSP90,HSP90a,HTATIP,IFI,IFI44,IFIT5,IFNa,IGMs,IL_11,IL_17D,IL_15,IL_1b,AARDC,CLEC4E,GLUL,NUPR1,ODC1,TAGLN3,IRF_1,JUN_F3,KIF15,KIF2C,KRT8,MAP3K14,MFHAS1,MMP13,MMP25,MX,NAPEPLD2,P_RAS,PRLR,RAMP1,RGS21,RPL6,RRl,RRM2,SAA,SCG2,SERPIN_1,SFRS9,TGFb,TRIM1,TXN,BSG,C7
M0001,0.214965825,0.647874642,0.106734408,0.135234317,0.571836689,-0.130691221,-0.468596963,-0.823424398,1.028570454,-0.08121515,-0.765073279,NA,1.042093886,NA,0.676112289,0.456893008,0.542951354,0.591576712,0.01460013,0.703994926,0.871172834,0.438838548,2.396456115,0.78442605,0.852297732,-0.460120083,0.480122534,NA,0.147820885,-1.179524521,-0.426205598,-1.113531446,-0.176232771,-0.567761589,0.760083461,0.393900705,0.048578507,1.348790469,0.869316142,-0.319684567,-0.037769354,0.486819076,1.661664719,-0.304123538,0.593669969,2.20403208,0.798576131,0.206122734,0.932875419,NA,0.317032693,0.005854125,0.655700302,1.026044436,0.346293964,0.240290666,0.671630032,0.769465584,NA,NA,0.40174272,-0.007790166,0.07919641,NA,-0.167121983,-0.017108467,0.281075838,0.580395591,0.584057652,0.731499923,0.113783495
M0002,-0.185503226,-1.007533142,1.409339462,0.36533917,-0.860265239,0.164746429,-1.147321834,-1.415702871,-0.720582118,-1.774206558,-0.806393144,0.152570403,-0.069334878,-0.607891187,-1.796850326,-0.146565536,-1.420130872,-0.620610236,-0.704458661,-0.224646262,-0.565577855,-2.269810894,0.711747063,-1.227330359,-1.563542475,-1.136598752,-0.632001252,NA,-0.532540206,-0.194921217,5.33E-15,NA,-0.029890349,-1.798454492,0.074387665,0.790609089,-0.139475027,-1.535516747,-0.761058483,NA,NA,-0.899551815,NA,-1.215282069,NA,0.23702266,NA,-0.970369233,NA,NA,-1.295230201,-0.830956903,-1.129489789,-2.436370659,0.001786559,-1.02060611,0.06565701,NA,NA,NA,-1.202266329,-0.922993412,-0.417596976,NA,NA,4.22E-15,-1.524224464,-0.909213004,-0.029342006,-0.127984247,-1.858061489
M0003,-0.911684058,-1.084361933,-1.07E-14,2.22E-15,-1.279427029,-0.785634391,-1.018393774,-0.859457471,-0.585935398,-0.728369378,-1.074885464,0.002015213,-0.731017639,-0.788412757,-0.758900266,-1.13682221,-0.98582578,-0.928462766,-0.800852691,-0.652323602,-0.932259605,-0.325987134,-0.103912417,-0.265935884,-0.599723025,-1.449588982,-0.365431702,NA,-0.581307547,-1.291744427,-2.607432304,NA,-0.934165619,-1.025461178,0.051383195,0.047509459,-0.763396551,-0.592730657,-0.684175143,NA,NA,-0.775434115,NA,-1.29009959,NA,0.50901795,NA,-0.639158473,NA,NA,-0.978574871,-0.150570623,-1.165186309,-1.72583348,-0.863388351,-0.98004571,-0.72651054,NA,NA,NA,-1.10561846,-0.329924409,-0.605811886,NA,NA,-1.038100639,-0.778750884,-1.457865005,-0.64711462,-0.879756528,-0.972057309
M0004,-1.309086331,-1.089560465,-1.07E-14,-4.017399913,-1.211836421,-1.406694913,-1.807894106,-1.225591114,-0.77393641,-0.72902854,-1.541738677,0.422007581,-0.704207553,-1.079885529,-1.002836968,-1.428023876,-1.388926639,-1.235991548,-0.795059804,-0.735297091,-1.351621867,-1.078536716,0.737647361,-0.851075446,-2.499818557,-0.889303874,-0.227003355,NA,-1.086643519,-1.39188352,-0.250569787,NA,-1.393764231,-0.695801924,-1.045297497,-0.133040454,-1.284158747,-1.181505109,-1.304518165,NA,NA,-1.560463058,NA,-1.611453478,NA,0.644702457,NA,-0.694925566,NA,NA,-1.183446244,-1.415499586,-1.777570761,-2.316872562,-1.388590483,-1.455049323,-1.038602072,NA,NA,NA,-1.30096536,-0.713039227,-0.817368888,NA,NA,-1.129868633,-1.296762056,-1.100950587,-0.36664627,-1.14622804,-0.721388911
M0005,-0.992182184,-1.152932995,-1.07E-14,0.886708097,-0.767834951,-1.496139043,-1.159809606,-1.515837593,-0.75198875,-0.83889288,-1.237968436,0.906038321,-1.011162136,-0.813785417,-0.882309158,-1.332822356,-1.860476303,-0.347038455,-0.373677373,-0.779774446,-1.310395947,-0.539953496,-0.413165959,-0.060444326,-0.363459377,-1.383381454,0.261024885,NA,-1.064656479,-0.63457263,-0.360705637,NA,-1.148017421,0.355672681,-0.568577277,0.423239656,-0.992076582,-0.093101799,-1.120675805,NA,NA,-1.319381637,NA,-1.961106113,NA,1.113693367,NA,-0.902062385,NA,NA,-0.707555053,-0.957226945,-0.748820231,-1.380113772,-0.967997923,-0.950610382,-0.496401602,NA,NA,NA,-1.179112046,-1.47436347,1.751512042,NA,NA,-1.150441631,-0.724566036,-0.921801643,-0.812688538,-1.236079178,-1.928579111
M0006,-1.319203253,-0.986030165,-1.163316951,-1.270936233,-1.293140522,-1.04692777,-1.701554457,-1.637541444,-0.758010291,-0.588087,-2.611182667,-0.11412274,-0.914708257,-1.311724341,-1.042331659,-1.972412592,-1.154697296,-1.121082639,-1.655477364,-1.214903504,-1.399661208,-0.864175897,-0.01842906,-1.138875131,-0.876944208,-1.015127355,-0.023552685,NA,-1.222787939,-2.62420272,-1.838863617,NA,-2.229559511,-1.658004806,-0.899511328,-0.320488674,-1.677034264,-0.70044116,-1.382063515,NA,NA,-1.691851218,NA,-1.444418749,NA,0.086763507,NA,-0.988769756,NA,NA,-1.449513344,-1.195166666,-1.461079802,-1.414681882,-1.656807594,-1.652045963,-1.554246813,NA,NA,NA,-1.23979116,-0.826580888,0.213300152,NA,NA,-1.27807093,-1.264047766,-1.339064477,-0.980633253,-1.195878223,-0.737693532
M0007,-1.003132792,-1.061660272,-0.746985417,-0.62119885,-0.904334278,-0.98581873,-1.690703823,-1.247637761,-0.754501487,-0.818532067,-0.992319024,-0.482368566,-0.646665028,-0.617982902,-0.968622675,-1.011191502,-0.923065037,-1.522377165,-1.3309108,-0.791206401,-0.873635894,-1.377903393,0.057842424,-0.570554828,-1.364776564,-0.318057771,0.062990718,NA,-0.824455146,-1.436334027,-1.803350184,NA,-0.732555358,-0.690460576,-0.782799724,-0.757829431,-1.117288531,-0.912210796,-0.950055582,NA,NA,-1.208757215,NA,-1.545265187,NA,0.1885172,NA,-0.955044232,NA,NA,-1.103405521,-0.318151733,-1.342313868,-2.241780459,-1.2658466,-1.1334964,-0.221627759,NA,NA,NA,-1.169029789,-0.784146804,-0.638921245,NA,NA,-1.020731086,-0.926148663,-1.277570744,-0.860019895,-0.825187457,-0.783421788
M0008,-0.80231433,-0.911359147,-1.116909033,0.193798615,-0.588648614,-1.357306396,-1.787494899,-1.831944176,-1.649132963,-0.766655632,-2.210678889,-0.124307132,-1.044255787,-0.631687622,-0.870394671,-1.025775015,-1.223042967,-0.773652191,-1.713199266,-0.961386014,-1.14594641,-1.343551689,0.513357408,-0.791750708,-1.02896652,-0.201626957,-0.319749207,NA,-0.559914181,0.324393007,-0.482471539,NA,-1.817046443,-1.019371173,-1.52670733,-0.604431536,-1.38712805,-0.622389502,-1.503255027,NA,NA,-1.65348818,NA,-1.77590805,NA,-0.260588095,NA,-0.975747188,NA,NA,-0.845502706,-0.192785288,-0.332652654,-0.559241904,-1.041317376,-1.355587935,-0.714090175,NA,NA,NA,-1.08486432,-0.993124616,-0.77155859,NA,NA,-0.821042589,-0.981996268,-0.097509316,-1.31460149,-1.049404813,-0.688444774
M0011,-0.589710271,-0.609278635,0.106734408,0.135234317,-0.283951469,0.181599129,-1.559121541,-2.037760285,0.210942377,0.214434052,-1.621331797,NA,-0.500071033,NA,0.034390672,-0.160762625,-0.652150928,-0.026288985,0.01460013,-0.572013376,-0.053057723,-0.190625179,-1.181384473,-0.060227078,0.395140455,0.76430812,-0.341177633,NA,0.050384117,-0.807685719,-1.096630356,-0.508396303,-0.757737969,-2.629512347,0.824856743,-0.136147333,-0.494211478,1.112814071,0.012067736,0.669488268,-0.009102582,0.459959249,0.421549317,-0.538792489,-0.431745839,0.132385987,0.197642823,-0.196936733,0.034444959,NA,0.101622295,1.235263626,0.333173544,-0.183075852,0.219632866,-0.497975262,-0.596271246,-0.710655633,NA,NA,-0.20291022,-0.213700475,-0.308935957,NA,-5.75E-05,-0.017108467,-0.34333778,-0.545736314,0.514749124,0.011468233,-0.094019972
M0012,-1.273572274,-0.213056194,0.106734408,0.135234317,-0.534629757,0.160315368,-1.621924489,-2.350379743,-0.886399522,-0.094011576,-3.368082595,NA,-0.066746491,NA,0.017328153,-0.070514008,-0.962388412,-1.255275603,-0.562172813,-1.554486459,-0.226694961,-1.104671597,-1.631549221,-0.017351901,-0.591027723,0.002679912,-0.798700921,NA,-0.154312181,-0.952627627,0.021899685,-0.762490621,-0.337471547,-1.020412292,-0.017544065,-1.335001571,-1.004880058,2.080827923,0.012067736,-0.399169553,-0.19781631,0.409081011,0.674861469,-0.628533642,-0.837393297,0.987627615,-0.150679765,-0.349815742,0.034444959,NA,-0.110501463,0.065143672,0.094667148,-0.48680542,0.228637908,-0.64572281,-1.511908744,-1.079705563,NA,NA,-0.589421737,-1.246139961,-0.617986715,NA,-5.75E-05,-0.017108467,0.014689742,0.06483568,0.276808803,-0.330691294,-0.425662371
